regiao,cod_uf,data,semana_epi,populacao_tcu2019,casos_acumulado,casos_novos,obitos_acumulado,obitos_novos,recuperados_novos,em_acompanhamento_novos,incidencia100k,mortalidade100k
Brasil,76,2020-04-29,18,210147125,78162,6276,5466,449,34132,38564,37.19,2.6
Brasil,76,2020-04-30,18,210147125,85380,7218,5901,435,35935,43544,40.63,2.81
Brasil,76,2020-05-01,18,210147125,91299,5919,6329,428,38039,47221,43.45,3.01
Brasil,76,2020-05-02,18,210147125,96396,5097,6724,395,40937,48872,45.87,3.2
Brasil,76,2020-05-03,19,210147125,101147,4751,7025,301,42991,51131,48.13,3.34
Brasil,76,2020-05-04,19,210147125,107780,6633,7321,296,45186,55273,51.29,3.48
Brasil,76,2020-05-05,19,210147125,114715,6935,7921,600,48221,58573,54.59,3.77
Brasil,76,2020-05-06,19,210147125,125218,10503,8535,614,51370,65312,59.59,4.06
Brasil,76,2020-05-07,19,210147125,135106,9888,9146,611,55350,70610,64.29,4.35
Brasil,76,2020-05-08,19,210147125,145328,10222,9895,749,59297,76134,69.16,4.71
Brasil,76,2020-05-09,19,210147125,155939,10611,10627,732,61685,83627,74.2,5.06
Brasil,76,2020-05-10,20,210147125,162699,6760,11123,496,64957,86619,77.42,5.29
Brasil,76,2020-05-11,20,210147125,168331,5632,11519,396,67384,89429,80.1,5.48
Brasil,76,2020-05-12,20,210147125,177589,9258,12400,881,72597,92593,84.51,5.9
Brasil,76,2020-05-13,20,210147125,188974,11385,13149,749,78424,97402,89.92,6.26
Brasil,76,2020-05-14,20,210147125,202918,13944,13993,844,79479,109446,96.56,6.66
Brasil,76,2020-05-15,20,210147125,218223,15305,14817,824,84970,118436,103.84,7.05
Brasil,76,2020-05-16,20,210147125,233142,14919,15633,816,89672,127837,110.94,7.44
Brasil,76,2020-05-17,21,210147125,241080,7938,16118,485,94122,130840,114.72,7.67
Brasil,76,2020-05-18,21,210147125,254220,13140,16792,674,100459,136969,120.97,7.99
Brasil,76,2020-05-19,21,210147125,271628,17408,17971,1179,106794,146863,129.26,8.55
Brasil,76,2020-05-20,21,210147125,291579,19951,18859,888,116683,156037,138.75,8.97
Brasil,76,2020-05-21,21,210147125,310087,18508,20047,1188,125960,164080,147.56,9.54
Brasil,76,2020-05-22,21,210147125,330890,20803,21046,999,135430,174412,157.46,10.01
Brasil,76,2020-05-23,21,210147125,347398,16508,22013,967,142587,182798,165.31,10.48
Brasil,76,2020-05-24,22,210147125,363211,15813,22666,653,149911,190634,172.84,10.79
Brasil,76,2020-05-25,22,210147125,374898,11687,23473,807,153833,197592,178.4,11.17
Brasil,76,2020-05-26,22,210147125,391222,16324,24512,1039,158593,208117,186.17,11.66
Brasil,76,2020-05-27,22,210147125,411821,20599,25598,1086,166647,219576,195.97,12.18
Brasil,76,2020-05-28,22,210147125,438238,26417,26754,1156,177604,233880,208.54,12.73
Brasil,76,2020-05-29,22,210147125,465166,26928,27878,1124,189476,247812,221.35,13.27
Brasil,76,2020-05-30,22,210147125,498440,33274,28834,956,200892,268714,237.19,13.72
Brasil,76,2020-05-31,23,210147125,514200,15760,29314,480,206555,278331,244.69,13.95
Brasil,76,2020-06-01,23,210147125,526447,12247,29937,623,211080,285430,250.51,14.25
Brasil,76,2020-06-02,23,210147125,555383,28936,31199,1262,223638,300546,264.28,14.85
Brasil,76,2020-06-03,23,210147125,584016,28633,32548,1349,238617,312851,277.91,15.49
Brasil,76,2020-06-04,23,210147125,614941,30925,34021,1473,254963,325957,292.62,16.19
Brasil,76,2020-06-05,23,210147125,645771,30830,35026,1005,266940,343805,307.29,16.67
Brasil,76,2020-06-06,23,210147125,672846,27075,35930,904,277149,359767,320.18,17.1
Brasil,76,2020-06-07,24,210147125,691758,18912,36455,525,283952,371351,329.18,17.35
Brasil,76,2020-06-08,24,210147125,707412,15654,37134,679,290040,380238,336.63,17.67
Brasil,76,2020-06-09,24,210147125,739503,32091,38406,1272,311064,390033,351.9,18.28
Brasil,76,2020-06-10,24,210147125,772416,32913,39680,1274,325395,407341,367.56,18.88
Brasil,76,2020-06-11,24,210147125,802828,30412,40919,1239,345595,416314,382.03,19.47
Brasil,76,2020-06-12,24,210147125,828810,25982,41828,909,365063,421919,394.4,19.9
Brasil,76,2020-06-13,24,210147125,850514,21704,42720,892,379245,428549,404.72,20.33
Brasil,76,2020-06-14,25,210147125,867624,17110,43332,612,388492,435800,412.87,20.62
Brasil,76,2020-06-15,25,210147125,888271,20647,43959,627,412252,432060,422.69,20.92
Brasil,76,2020-06-16,25,210147125,923189,34918,45241,1282,441729,436219,439.31,21.53
Brasil,76,2020-06-17,25,210147125,955377,32188,46510,1269,463474,445393,454.62,22.13
Brasil,76,2020-06-18,25,210147125,978142,22765,47748,1238,482102,448292,465.46,22.72
Brasil,76,2020-06-19,25,210147125,1032913,54771,48954,1206,507200,476759,491.52,23.3
Brasil,76,2020-06-20,25,210147125,1067579,34666,49976,1022,520734,496869,508.02,23.78
Brasil,76,2020-06-21,26,210147125,1085038,17459,50617,641,549386,485035,516.32,24.09
Brasil,76,2020-06-22,26,210147125,1106470,21432,51271,654,571649,483550,526.52,24.4
Brasil,76,2020-06-23,26,210147125,1145906,39436,52645,1374,613345,479916,545.29,25.05
Brasil,76,2020-06-24,26,210147125,1188631,42725,53830,1185,649908,484893,565.62,25.62
Brasil,76,2020-06-25,26,210147125,1228114,39483,54971,1141,673729,499414,584.41,26.16
Brasil,76,2020-06-26,26,210147125,1274974,46860,55961,990,697526,521487,606.71,26.63
Brasil,76,2020-06-27,26,210147125,1313667,38693,57070,1109,715905,540692,625.12,27.16
Brasil,76,2020-06-28,27,210147125,1344143,30476,57622,552,733848,552673,639.62,27.42
Brasil,76,2020-06-29,27,210147125,1368195,24052,58314,692,757462,552419,651.07,27.75
Brasil,76,2020-06-30,27,210147125,1402041,33846,59594,1280,790040,552407,667.17,28.36
